selection_rank,selection_score,selection_band,compiler_action,record_class,source_note_status,selection_flags,country_risk_level,country_risk_score,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,subject_or_context,priority_or_release_status,source_score,page_count_or_range,themes_or_topics,same_date_diary_backup_count,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_private_records_14_days,nearby_public_statement_count_7_days,source_series,source_folder_or_title,source_note,provenance_note,pdf_url,catalog_or_details_url,page_link,record_id
657,87,Secondary print/context lead,Use to fill country chronology gaps or support annotation after high-priority leads are checked.,Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,18,Venezuela,Venezuela,1989-03-06,"March 6, 1989",Volume date range,Memorandum,Acting Executive Secretary,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR",Medium,60,89,"debt and economy; presidential diplomacy",,,,-3d 1989-03-03 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=89,subject-print-470766534-89-memorandum
658,87,Secondary print/context lead,Use to fill country chronology gaps or support annotation after high-priority leads are checked.,Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,18,Venezuela,Venezuela,1989-03-06,"March 6, 1989",Volume date range,Memorandum,Letter to President Bush from Venezuelan President,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR",Medium,60,76,"debt and economy; presidential diplomacy",,,,-3d 1989-03-03 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=76,subject-print-470766534-76-memorandum
659,87,Secondary print/context lead,Use to fill country chronology gaps or support annotation after high-priority leads are checked.,Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Monitor,18,Venezuela,Venezuela,1989-04-01,"April 1, 1989",Volume date range,Memorandum,Guest List for the Presidential Breakfast with,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy; document text visible in OCR",Medium,60,20,"debt and economy; presidential diplomacy",,,,+0d 1989-04-01 - Memorandum of Conversation,,Latin American Directorate Chronological Files,"March 17, 1989-March 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-014, March 17, 1989-March 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-014.pdf,https://catalog.archives.gov/id/470766415,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-014.pdf#page=20,chronological-print-470766415-20-memorandum
660,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Argentina,Argentina,,,Undated/needs verification,Memorandum,Re: Recommended Telephone Call T2789,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,4,presidential diplomacy,,,,,,Latin American Directorate Chronological Files,"July 16, 1989-July 30, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-004, July 16, 1989-July 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-004.pdf,https://catalog.archives.gov/id/470766441,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-004.pdf#page=4,chronological-print-470766441-4-09b
661,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,28,Brazil,Brazil,,,Undated/needs verification,Memorandum,From J. Stapelton Roy for,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,3,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Brazil - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-013, Brazil - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2004-0734-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf,https://catalog.archives.gov/id/470766486,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-013.pdf#page=3,subject-print-470766486-3-09b
662,86,Private record - context,"Evaluate for print or annotation, using nearby leads and public statements as surrounding context.",Declassified memcon/telcon,FRUS-style ready,,Monitor,26,Colombia,Colombia,1990-01-28,1990-01-28,Volume date range,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with President Barco of Colombia, January 28, 1990",Full,,4,"Latin America; South America; Colombia; Bush Library Memcons and Telcons; Telcon",2,0,,,2,Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: January 1990","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: January 1990. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 1/28/1990; Type Telcon; Participants Barco, Virgilio; Country Colombia; Release Status Full; NAID 428080509. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Conversation with President Barco of Colombia, January 28, 1990, NAID 428080509. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: January 1990, NAID 325592640. Digital object: 1990-01-28--Barco.pdf, object ID 428080510, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-01-28--Barco.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551690, 91111-005, source pages 34-36.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-01-28--Barco.pdf,https://catalog.archives.gov/id/428080509,,bush-library-428080509
663,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Colombia,Colombia,,,Undated/needs verification,Memorandum,From J. Stapleton Roy to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,4,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-010, Colombia - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf,https://catalog.archives.gov/id/470766567,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-010.pdf#page=4,subject-print-470766567-4-09
664,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Colombia,Colombia,,,Undated/needs verification,Memorandum,From William Pryce to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,2,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Colombia - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-007, Colombia - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2001-0434-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf,https://catalog.archives.gov/id/470766564,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-007.pdf#page=2,subject-print-470766564-2-04
665,86,Private record - context,"Evaluate for print or annotation, using nearby leads and public statements as surrounding context.",Declassified memcon/telcon,FRUS-style ready,,Monitor,18,Venezuela,Venezuela,1989-12-20,1989-12-20,Volume date range,Telcon,Memorandum of Telephone Conversation,"Telephone Conversation with President Perez of Venezuela, December 20, 1989",Full,,4,"Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,1,"+1d December 21, 1989 - Memorandum of Telephone Conversation with",,0,Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 12/20/1989; Type Telcon; Participants Perez, Carlos Andres; Country Venezuela; Release Status Full; NAID 428080461. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone Conversation with President Perez of Venezuela, December 20, 1989, NAID 428080461. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - August 1989-December 1989]: December 1989, NAID 325592639. Digital object: 1989-12-20--Perez.pdf, object ID 428080462, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Perez.pdf. Access restriction: Unrestricted.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-12-20--Perez.pdf,https://catalog.archives.gov/id/428080461,,bush-library-428080461
666,86,Private record - context,"Evaluate for print or annotation, using nearby leads and public statements as surrounding context.",Declassified memcon/telcon,FRUS-style ready,,Monitor,18,Venezuela,Venezuela,1990-02-26,1990-02-26,Volume date range,Telcon,Memorandum of Telephone Conversation,"Telephone conversation with President Carlos Andres Perez of Venezuela, February 26, 1990",Full,,4,"Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Telcon",2,0,,,2,Presidential Telcon Files,"Presidential Telcon Files; [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: February 1990","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: February 1990. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 2/26/1990; Type Telcon; Participants Perez, Carlos Andres; Country Venezuela; Release Status Full; NAID 428080569. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telephone conversation with President Carlos Andres Perez of Venezuela, February 26, 1990, NAID 428080569. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Telcon Files, NAID 321498139. File unit: [Memorandum of Telephone Conversations (Telcons) - January 1990-July 1990]: February 1990, NAID 325592641. Digital object: 1990-02-26--Perez.pdf, object ID 428080570, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-02-26--Perez.pdf. Access restriction: Unrestricted. Deduped local provenance: Brent Scowcroft Papers, Presidential Correspondence Files, NAID 366551690, 91111-005, source pages 76-78.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-02-26--Perez.pdf,https://catalog.archives.gov/id/428080569,,bush-library-428080569
667,86,Private record - context,"Evaluate for print or annotation, using nearby leads and public statements as surrounding context.",Declassified memcon/telcon,FRUS-style ready,,Monitor,18,Venezuela,Venezuela,1992-11-27,1992-11-27,Volume date range,Memcon,Memorandum of Conversation,"Telcon with Carlos Andres Perez, President of Venezuela on November 27, 1992 (1 of 2)",Full,,1,"Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Memcon",2,0,,,0,Presidential Memcon Files,"Presidential Memcon Files; [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 11/27/1992; Type Memcon; Participants Perez, Carlos Andres; Country Venezuela; Release Status Full; NAID 428082369. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telcon with Carlos Andres Perez, President of Venezuela on November 27, 1992 (1 of 2), NAID 428082369. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992, NAID 325592627. Digital object: 1992-11-27--Perez-1.pdf, object ID 428082370, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-27--Perez-1.pdf. Access restriction: Unrestricted.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-27--Perez-1.pdf,https://catalog.archives.gov/id/428082369,,bush-library-428082369
668,86,Private record - context,"Evaluate for print or annotation, using nearby leads and public statements as surrounding context.",Declassified memcon/telcon,FRUS-style ready,,Monitor,18,Venezuela,Venezuela,1992-11-27,1992-11-27,Volume date range,Memcon,Memorandum of Conversation,"Telcon with Carlos Andres Perez, President of Venezuela on November 27, 1992 (2 of 2)",Full,,3,"Latin America; South America; Venezuela; Bush Library Memcons and Telcons; Memcon",2,0,,,0,Presidential Memcon Files,"Presidential Memcon Files; [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992. Declassified.","Source: George H.W. Bush Presidential Library and Museum, Digital Research Room, ""Memcons and Telcons"" table (https://www.bush41library.gov/digital-research-room/about-textual-collections/memcons-and-telcons), row: Date 11/27/1992; Type Memcon; Participants Perez, Carlos Andres; Country Venezuela; Release Status Full; NAID 428082371. Priority collection for volume compilation: Latin American Directorate Chronological Files, NAID 2197972, https://catalog.archives.gov/id/2197972. National Archives Catalog item: Telcon with Carlos Andres Perez, President of Venezuela on November 27, 1992 (2 of 2), NAID 428082371. Collection: Records of the National Security Council (George H. W. Bush Administration), NAID 2163580. Series: Presidential Memcon Files, NAID 321498039. File unit: [Memorandum of Conversations (Memcons)-July 1992-December 1992]: November 1992, NAID 325592627. Digital object: 1992-11-27--Perez-2.pdf, object ID 428082372, URL https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-27--Perez-2.pdf. Access restriction: Unrestricted.",https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-11-27--Perez-2.pdf,https://catalog.archives.gov/id/428082371,,bush-library-428082371
669,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Memorandum,(i pp.) Melvyn Levitsky to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,4,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,[Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-022, [Briefing Material for POTUS Meeting with Venezuelan President Carlos Andres Perez 4/89] [loose]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf,https://catalog.archives.gov/id/470766537,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-022.pdf#page=4,subject-print-470766537-4-01
670,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Memorandum,David A. Pacelli and Timothy Deal to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,3,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=3,subject-print-470766534-3-07d
671,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Memorandum,David A. Pacelli to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,4,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=4,subject-print-470766534-4-08a
672,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Memorandum,J. Stapleton Roy to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,34,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-018, Venezuela - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf,https://catalog.archives.gov/id/470766533,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf#page=34,subject-print-470766533-34-08a
673,86,Verify date/scope before selection,Verify date and volume scope before investing selection time.,Print-candidate lead,FRUS-style ready,"missing_or_unparsed_date; outside_volume_date_scope_or_undated; ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,18,Venezuela,Venezuela,,,Undated/needs verification,Memorandum,President Perez. David A. Pacelli to,"memorandum form; Presidential or NSC principals; presidential diplomacy; identified on withdrawal sheet",High,72,55,presidential diplomacy,,,,,,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-019, Venezuela - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf,https://catalog.archives.gov/id/470766534,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-019.pdf#page=55,subject-print-470766534-55-08a
674,85,Secondary print/context lead,Use to fill country chronology gaps or support annotation after high-priority leads are checked.,Print-candidate lead,FRUS-style ready,ocr_lead_verify_page_image,Critical,87,Peru,Peru,1989-02-16,"February 16, 1989",Volume date range,Memorandum,Comments on INCSR Executive Summary,"memorandum form; narcotics; document text visible in OCR",Medium,58,21,narcotics,,,,,,Latin American Directorate Chronological Files,"February 1, 1989-March 1, 1989 [3]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00300, CF00300-007, February 1, 1989-March 1, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf,https://catalog.archives.gov/id/470766408,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00300-007.pdf#page=21,chronological-print-470766408-21-memorandum
